Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description,Has_Director,Added_Year,Added_Month
S1982,Movie,Whipped,Chandra Liow,"Andovi Da Lopez, Jovial Da Lopez, Chandra Liow, Tommy Limmm, Susan Sameh, Widika Sidmore, Kezia Aletheia, Karina Salim",['Indonesia'],2020-09-18,2020,TV-14,98 Min,"['Comedies', 'International Movies', 'Romantic Movies']",Four Buddies Attend A Class Taught By A Love Guru Who Leads Them To Question Their Romantic Attachments — Until Her Hidden Agenda Comes To Light.,True,2020,September
S1983,Movie,Anaamika,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",['India'],2020-09-17,2014,TV-14,130 Min,"['International Movies', 'Thrillers']","As A Woman Scours Hyderabad For Her Missing Husband, She Becomes Entangled In A Conspiracy That Suggests There’S More To The Mystery Than Meets The Eye.",True,2020,September
S1984,Tv Show,Dragon'S Dogma,Unknown,"Greg Chun, Erica Mendez, Cristina Vee, David Lodge, Yuichi Nakamura, Nana Mizuki, Miyuki Sawashiro, Yuko Sanpei, Suzuko Mimori, Takayuki Sugo",['Unknown'],2020-09-17,2020,TV-MA,1 Season,"['Anime Series', 'International Tv Shows']","Resurrected As An Arisen, Ethan Sets Out To Vanquish The Dragon That Took His Heart. But With Every Demon He Battles, His Humanity Slips Further Away.",False,2020,September
S1985,Movie,Gims: On The Record,Florent Bodin,Maître Gims,['France'],2020-09-17,2020,TV-MA,96 Min,"['Documentaries', 'International Movies', 'Music', 'Musicals']",Go Backstage With Beloved Rap Superstar Gims In The Year Leading Up To His Major 2019 Stade De France Performance In This Up-Close Documentary.,True,2020,September
S1986,Movie,Horrid Henry'S Gross Day Out,Gary Andrews,"Lizzie Waterworth-Santo, Emma Tate, Sue Elliot Nicholls, Tamsin Heatley, Wayne Forester, Aidan Cook, Philip Pope",['United Kingdom'],2020-09-17,2020,TV-Y,61 Min,"['Children', 'Family Movies', 'Comedies']","Worlds Collide When Henry Makes Plans To Spend Saturday On The Sofa Watching A ""Gross Class Zero"" Marathon — And His Favorite Characters Come To Life!",True,2020,September
S1987,Movie,Nee Enge En Anbe,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy, Harshvardhan Rane, Thagubothu Ramesh, Vinay Varma, Dheer Charan Srivastav, D. Narsingh Rao",['Unknown'],2020-09-17,2014,TV-14,137 Min,"['International Movies', 'Thrillers']","As A Woman Scours Hyderabad For Her Missing Husband, She Becomes Entangled In A Conspiracy That Suggests There’S More To The Mystery Than Meets The Eye.",True,2020,September
S1988,Movie,Residue,Merawi Gerima,"Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, Jacari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",['United States'],2020-09-17,2020,TV-MA,90 Min,"['Dramas', 'Independent Movies']",A Young Screenwriter Returns To His Hometown To Write A Script Based On His Childhood And Discovers His Neighborhood Has Been Gentrified.,True,2020,September
S1989,Tv Show,The Last Word,Unknown,"Anke Engelke, Thorsten Merten, Nina Gummich, Johannes Zeiler, Juri Winkler, Gudrun Ritter, Aaron Hilmer, Claudia Geisler-Bading",['Germany'],2020-09-17,2020,TV-MA,1 Season,"['International Tv Shows', 'Tv Comedies', 'Tv Dramas']","Suddenly A Widow, A Woman Rekindles Her Thirst For Life By Becoming A Eulogist While Navigating The Existential Landscape Of Death, Grief And Love.",False,2020,September
S1990,Tv Show,Baby,Unknown,"Benedetta Porcaroli, Alice Pagani, Riccardo Mandolini, Chabeli Sastre Gonzalez, Brando Pacitto, Lorenzo Zurzolo, Claudia Pandolfi, Galatea Ranzi",['Italy'],2020-09-16,2020,TV-MA,3 Seasons,"['International Tv Shows', 'Tv Dramas', 'Teen Tv Shows']","Fed Up With Their Families And Classmates, Two Teen Girls From A Wealthy Part Of Rome Are Drawn To The City'S Underworld And Start Leading Double Lives.",False,2020,September
S1991,Tv Show,Challenger,Unknown,Unknown,['United States'],2020-09-16,2020,TV-14,1 Season,"['Docuseries', 'Science', 'Nature Tv']","Engineers, Officials And The Crew Members' Families Provide Their Perspective On The 1986 Space Shuttle Challenger Disaster And Its Aftermath.",False,2020,September
